won,frame,person,file,x,y,w,h
WON02443785,5210,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__5210.png,553,160,267,353
WON02443785,2382,data/facedb2/timmermans__WON02443711__2223.png,data/frames/WON02443785/WON02443785__2382.png,941,111,297,389
WON02443785,1367,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1367.png,623,154,277,365
WON02443785,2012,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__2012.png,1124,209,295,414
WON02443785,525,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__525.png,842,116,217,347
WON02443785,1708,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1708.png,706,151,252,353
WON02443785,1368,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1368.png,615,141,272,356
WON02443785,3853,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__3853.png,610,155,252,360
WON02443785,1718,data/facedb2/omtzigt__WON02443711__2452.png,data/frames/WON02443785/WON02443785__1718.png,915,170,262,355
WON02443785,2769,data/facedb2/vanderplas__WON02443711__1160.png,data/frames/WON02443785/WON02443785__2769.png,1130,210,235,356
WON02443785,5291,data/facedb2/timmermans__WON02441460__1766.png,data/frames/WON02443785/WON02443785__5291.png,647,77,308,415
WON02443785,2032,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__2032.png,1017,200,299,405
WON02443785,5196,data/facedb2/yesilguz__WON02443711__2119.png,data/frames/WON02443785/WON02443785__5196.png,794,137,250,375
WON02443785,1029,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__1029.png,1037,104,222,371
WON02443785,2914,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02443785/WON02443785__2914.png,915,91,288,411
WON02443785,650,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__650.png,1019,121,220,340
WON02443785,589,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__589.png,506,183,248,332
WON02443785,872,data/facedb2/wilders__WON02443711__797.png,data/frames/WON02443785/WON02443785__872.png,614,185,256,360
